Plate Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Bloodthorn Burnous,251190,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+65 Haste
+35 Mastery","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+66 Haste
+35 Mastery","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+67 Haste
+36 Mastery","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+68 Haste
+37 Mastery","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+69 Haste
+37 Mastery","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+70 Haste
+37 Mastery",https://www.wowhead.com/item=251190
Bonds of the Hash'ura,251152,"235 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+81 Critical Strike
+52 Mastery","240 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+82 Critical Strike
+53 Mastery","245 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+83 Critical Strike
+54 Mastery","252 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+84 Critical Strike
+55 Mastery","257 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+86 Critical Strike
+55 Mastery","262 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+87 Critical Strike
+56 Mastery",https://www.wowhead.com/item=251152
Breastplate of Soaring Terror,193765,"418 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+100 Critical Strike
+77 Mastery","426 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+102 Critical Strike
+78 Mastery","435 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+103 Critical Strike
+79 Mastery","447 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+105 Critical Strike
+81 Mastery","456 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+106 Critical Strike
+82 Mastery","466 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+107 Critical Strike
+83 Mastery",https://www.wowhead.com/item=193765
Bulwark of Brimming Potential,158375,"679 Armor
110 Block
+72 [Strength or Intellect]
+1,397 Stamina
+50 Critical Strike
+39 Haste","693 Armor
112 Block
+74 [Strength or Intellect]
+1,448 Stamina
+51 Critical Strike
+39 Haste","706 Armor
115 Block
+76 [Strength or Intellect]
+1,501 Stamina
+51 Critical Strike
+40 Haste","725 Armor
118 Block
+79 [Strength or Intellect]
+1,572 Stamina
+52 Critical Strike
+40 Haste","739 Armor
120 Block
+81 [Strength or Intellect]
+1,627 Stamina
+53 Critical Strike
+41 Haste","754 Armor
123 Block
+84 [Strength or Intellect]
+1,684 Stamina
+54 Critical Strike
+41 Haste",https://www.wowhead.com/item=158375
C'thraxxi Binders Pauldrons,158360,"288 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+55 Critical Strike
+78 Versatility","293 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+56 Critical Strike
+79 Versatility","300 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+57 Critical Strike
+80 Versatility","308 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+58 Critical Strike
+82 Versatility","314 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+58 Critical Strike
+83 Versatility","320 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+59 Critical Strike
+84 Versatility",https://www.wowhead.com/item=158360
Charged Sandstone Band,158366,"+1,572 Stamina
+194 Critical Strike
+145 Mastery
Prismatic Socket","+1,629 Stamina
+198 Critical Strike
+148 Mastery
Prismatic Socket","+1,689 Stamina
+202 Critical Strike
+151 Mastery
Prismatic Socket","+1,768 Stamina
+207 Critical Strike
+155 Mastery
Prismatic Socket","+1,830 Stamina
+211 Critical Strike
+158 Mastery
Prismatic Socket","+1,895 Stamina
+215 Critical Strike
+161 Mastery
Prismatic Socket",https://www.wowhead.com/item=158366
Charonic Crescent,251232,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 [Agility or Strength]
+2,794 Stamina
+104 Critical Strike
+74 Haste","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 [Agility or Strength]
+2,896 Stamina
+105 Critical Strike
+75 Haste","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 [Agility or Strength]
+3,002 Stamina
+107 Critical Strike
+76 Haste","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 [Agility or Strength]
+3,143 Stamina
+109 Critical Strike
+77 Haste","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 [Agility or Strength]
+3,254 Stamina
+110 Critical Strike
+78 Haste","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 [Agility or Strength]
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=251232
Cinderfury Shoulderguards,251126,"288 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+87 Critical Strike
+47 Haste","293 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+88 Critical Strike
+47 Haste","300 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+89 Critical Strike
+48 Haste","308 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+90 Critical Strike
+49 Haste","314 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+92 Critical Strike
+49 Haste","320 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+93 Critical Strike
+50 Haste",https://www.wowhead.com/item=251126
Cloak of the Restless Tribes,159288,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+54 Versatility
+46 Mastery
Equip: Standing still for 4 sec increases your Speed by 89. Lasts for 4 sec once you start moving.","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+55 Versatility
+46 Mastery
Equip: Standing still for 4 sec increases your Speed by 90. Lasts for 4 sec once you start moving.","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+56 Versatility
+47 Mastery
Equip: Standing still for 4 sec increases your Speed by 91. Lasts for 4 sec once you start moving.","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+57 Versatility
+48 Mastery
Equip: Standing still for 4 sec increases your Speed by 93. Lasts for 4 sec once you start moving.","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+57 Versatility
+48 Mastery
Equip: Standing still for 4 sec increases your Speed by 94. Lasts for 4 sec once you start moving.","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+58 Versatility
+49 Mastery
Equip: Standing still for 4 sec increases your Speed by 96. Lasts for 4 sec once you start moving.",https://www.wowhead.com/item=159288
Coiled Fangstone,273795,"+137 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(56787 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+141 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(59336 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+145 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(61984 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+150 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(65675 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+154 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(68567 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+159 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(71571 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)",https://www.wowhead.com/item=273795
Crackling Jade Kilij,160216,"79 - 133 Damage
Speed 2.60
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+52 Critical Strike
+37 Mastery","82 - 137 Damage
Speed 2.60
(42.1 damage per second)
+431 Intellect
+1,448 Stamina
+53 Critical Strike
+37 Mastery","84 - 141 Damage
Speed 2.60
(43.3 damage per second)
+443 Intellect
+1,501 Stamina
+53 Critical Strike
+38 Mastery","87 - 146 Damage
Speed 2.60
(44.8 damage per second)
+460 Intellect
+1,572 Stamina
+54 Critical Strike
+38 Mastery","90 - 150 Damage
Speed 2.60
(46.2 damage per second)
+473 Intellect
+1,627 Stamina
+55 Critical Strike
+39 Mastery","92 - 154 Damage
Speed 2.60
(47.3 damage per second)
+486 Intellect
+1,684 Stamina
+56 Critical Strike
+39 Mastery",https://www.wowhead.com/item=160216
Desert Guardian's Breastplate,158364,"418 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+104 Critical Strike
+74 Versatility","426 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+105 Critical Strike
+75 Versatility","435 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+107 Critical Strike
+76 Versatility","447 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+109 Critical Strike
+77 Versatility","456 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+110 Critical Strike
+78 Versatility","466 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+112 Critical Strike
+79 Versatility",https://www.wowhead.com/item=158364
Despondent's Gauntlets,251227,"235 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+87 Critical Strike
+47 Haste","240 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+88 Critical Strike
+47 Haste","245 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+89 Critical Strike
+48 Haste","252 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+90 Critical Strike
+49 Haste","257 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+92 Critical Strike
+49 Haste","262 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+93 Critical Strike
+50 Haste",https://www.wowhead.com/item=251227
Drake Rider's Stecktarge,193770,"679 Armor
110 Block
+72 [Strength or Intellect]
+1,397 Stamina
+50 Critical Strike
+39 Haste","693 Armor
112 Block
+74 [Strength or Intellect]
+1,448 Stamina
+51 Critical Strike
+39 Haste","706 Armor
115 Block
+76 [Strength or Intellect]
+1,501 Stamina
+51 Critical Strike
+40 Haste","725 Armor
118 Block
+79 [Strength or Intellect]
+1,572 Stamina
+52 Critical Strike
+40 Haste","739 Armor
120 Block
+81 [Strength or Intellect]
+1,627 Stamina
+53 Critical Strike
+41 Haste","754 Armor
123 Block
+84 [Strength or Intellect]
+1,684 Stamina
+54 Critical Strike
+41 Haste",https://www.wowhead.com/item=193770
Embalmer's Steadying Bracers,159302,"209 Armor
+81 [Strength or Intellect]
+1,572 Stamina
+63 Critical Strike
+37 Versatility","213 Armor
+83 [Strength or Intellect]
+1,629 Stamina
+64 Critical Strike
+38 Versatility","218 Armor
+86 [Strength or Intellect]
+1,689 Stamina
+64 Critical Strike
+38 Versatility","224 Armor
+89 [Strength or Intellect]
+1,768 Stamina
+66 Critical Strike
+39 Versatility","228 Armor
+91 [Strength or Intellect]
+1,830 Stamina
+66 Critical Strike
+39 Versatility","233 Armor
+94 [Strength or Intellect]
+1,895 Stamina
+67 Critical Strike
+40 Versatility",https://www.wowhead.com/item=159302
Fangproof Gauntlets,158354,"235 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+61 Versatility
+72 Mastery","240 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+62 Versatility
+73 Mastery","245 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+63 Versatility
+74 Mastery","252 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+64 Versatility
+76 Mastery","257 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+64 Versatility
+77 Mastery","262 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+65 Versatility
+78 Mastery",https://www.wowhead.com/item=158354
Fireproof Drape,193763,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+37 Critical Strike
+63 Haste","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+38 Critical Strike
+64 Haste","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+38 Critical Strike
+64 Haste","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+39 Critical Strike
+66 Haste","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+39 Critical Strike
+66 Haste","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+40 Critical Strike
+67 Haste",https://www.wowhead.com/item=193763
Galvanized Stormcrusher,215730,"186 - 239 Damage
Speed 2.60
(81.7 damage per second)
+721 Strength
+721 Agility
+969 Intellect
+2,656 Stamina
Dropped by: GaralonDrop Chance: 0.02%","191 - 246 Damage
Speed 2.60
(84.0 damage per second)
+742 Strength
+742 Agility
+997 Intellect
+2,753 Stamina
Dropped by: GaralonDrop Chance: 0.02%","196 - 253 Damage
Speed 2.60
(86.3 damage per second)
+763 Strength
+763 Agility
+1025 Intellect
+2,854 Stamina
Dropped by: GaralonDrop Chance: 0.02%","204 - 263 Damage
Speed 2.60
(89.8 damage per second)
+792 Strength
+792 Agility
+1064 Intellect
+2,988 Stamina
Dropped by: GaralonDrop Chance: 0.02%","210 - 270 Damage
Speed 2.60
(92.3 damage per second)
+814 Strength
+814 Agility
+1094 Intellect
+3,093 Stamina
Dropped by: GaralonDrop Chance: 0.02%","215 - 278 Damage
Speed 2.60
(94.8 damage per second)
+837 Strength
+837 Agility
+1125 Intellect
+3,203 Stamina
Dropped by: GaralonDrop Chance: 0.02%",https://www.wowhead.com/item=215730
Gauntlets of the Avian Sentinel,159315,"235 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+81 Critical Strike
+52 Mastery","240 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+82 Critical Strike
+53 Mastery","245 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+83 Critical Strike
+54 Mastery","252 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+84 Critical Strike
+55 Mastery","257 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+86 Critical Strike
+55 Mastery","262 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+87 Critical Strike
+56 Mastery",https://www.wowhead.com/item=159315
"Geti'ikku, Cut of Death",159365,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 Strength
+2,794 Stamina
Equip: Your attacks have a chance to trigger bloody lacerations, inflicting (14820 * 1) Physical damage over 12 sec.","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 Strength
+2,896 Stamina
Equip: Your attacks have a chance to trigger bloody lacerations, inflicting (15485 * 1) Physical damage over 12 sec.","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 Strength
+3,002 Stamina
Equip: Your attacks have a chance to trigger bloody lacerations, inflicting (16175 * 1) Physical damage over 12 sec.","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 Strength
+3,143 Stamina
Equip: Your attacks have a chance to trigger bloody lacerations, inflicting (17138 * 1) Physical damage over 12 sec.","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 Strength
+3,254 Stamina
Equip: Your attacks have a chance to trigger bloody lacerations, inflicting (17892 * 1) Physical damage over 12 sec.","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 Strength
+3,369 Stamina
Equip: Your attacks have a chance to trigger bloody lacerations, inflicting (18675 * 1) Physical damage over 12 sec.",https://www.wowhead.com/item=159365
Girdle of Pestilent Purification,159319,"235 Armor
+108 [Strength or Intellect]
+2,096 Stamina
+75 Versatility
+58 Mastery","240 Armor
+111 [Strength or Intellect]
+2,172 Stamina
+76 Versatility
+59 Mastery","245 Armor
+114 [Strength or Intellect]
+2,252 Stamina
+77 Versatility
+60 Mastery","252 Armor
+118 [Strength or Intellect]
+2,358 Stamina
+79 Versatility
+61 Mastery","257 Armor
+122 [Strength or Intellect]
+2,440 Stamina
+80 Versatility
+61 Mastery","262 Armor
+125 [Strength or Intellect]
+2,527 Stamina
+81 Versatility
+62 Mastery",https://www.wowhead.com/item=159319
Graft of the Domanaar,251234,"+1,572 Stamina
+218 Critical Strike
+121 Mastery","+1,629 Stamina
+223 Critical Strike
+124 Mastery","+1,689 Stamina
+227 Critical Strike
+126 Mastery","+1,768 Stamina
+233 Critical Strike
+129 Mastery","+1,830 Stamina
+237 Critical Strike
+132 Mastery","+1,895 Stamina
+242 Critical Strike
+134 Mastery",https://www.wowhead.com/item=251234
Greathelm of Temptation,251123,"314 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+104 Critical Strike
+74 Haste","320 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+105 Critical Strike
+75 Haste","326 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+107 Critical Strike
+76 Haste","335 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+109 Critical Strike
+77 Haste","342 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+110 Critical Strike
+78 Haste","350 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=251123
Havoc Crusher,193767,"186 - 239 Damage
Speed 2.60
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+56 Critical Strike
+33 Haste","191 - 246 Damage
Speed 2.60
(84.0 damage per second)
+74 Agility
+1,448 Stamina
+57 Critical Strike
+33 Haste","196 - 253 Damage
Speed 2.60
(86.3 damage per second)
+76 Agility
+1,501 Stamina
+57 Critical Strike
+34 Haste","204 - 263 Damage
Speed 2.60
(89.8 damage per second)
+79 Agility
+1,572 Stamina
+58 Critical Strike
+34 Haste","210 - 270 Damage
Speed 2.60
(92.3 damage per second)
+81 Agility
+1,627 Stamina
+59 Critical Strike
+35 Haste","215 - 278 Damage
Speed 2.60
(94.8 damage per second)
+84 Agility
+1,684 Stamina
+60 Critical Strike
+35 Haste",https://www.wowhead.com/item=193767
Headcracker of Supplication,159645,"186 - 239 Damage
Speed 2.60
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+37 Critical Strike
+52 Mastery","191 - 246 Damage
Speed 2.60
(84.0 damage per second)
+74 Agility
+1,448 Stamina
+37 Critical Strike
+53 Mastery","196 - 253 Damage
Speed 2.60
(86.3 damage per second)
+76 Agility
+1,501 Stamina
+38 Critical Strike
+53 Mastery","204 - 263 Damage
Speed 2.60
(89.8 damage per second)
+79 Agility
+1,572 Stamina
+38 Critical Strike
+54 Mastery","210 - 270 Damage
Speed 2.60
(92.3 damage per second)
+81 Agility
+1,627 Stamina
+39 Critical Strike
+55 Mastery","215 - 278 Damage
Speed 2.60
(94.8 damage per second)
+84 Agility
+1,684 Stamina
+39 Critical Strike
+56 Mastery",https://www.wowhead.com/item=159645
Helm of the Raptor King,159308,"314 Armor
+144 [Strength or Intellect]
+2,794 Stamina
+76 Critical Strike
+101 Haste","320 Armor
+148 [Strength or Intellect]
+2,896 Stamina
+77 Critical Strike
+103 Haste","326 Armor
+152 [Strength or Intellect]
+3,002 Stamina
+78 Critical Strike
+104 Haste","335 Armor
+158 [Strength or Intellect]
+3,143 Stamina
+80 Critical Strike
+106 Haste","342 Armor
+162 [Strength or Intellect]
+3,254 Stamina
+81 Critical Strike
+107 Haste","350 Armor
+167 [Strength or Intellect]
+3,369 Stamina
+82 Critical Strike
+109 Haste",https://www.wowhead.com/item=159308
Hulking Handaxe,251230,"159 - 266 Damage
Speed 2.60
(81.7 damage per second)
+72 [Strength or Agility]
+1,397 Stamina
+50 Critical Strike
+39 Haste","164 - 273 Damage
Speed 2.60
(84.0 damage per second)
+74 [Strength or Agility]
+1,448 Stamina
+51 Critical Strike
+39 Haste","168 - 281 Damage
Speed 2.60
(86.3 damage per second)
+76 [Strength or Agility]
+1,501 Stamina
+51 Critical Strike
+40 Haste","175 - 292 Damage
Speed 2.60
(89.8 damage per second)
+79 [Strength or Agility]
+1,572 Stamina
+52 Critical Strike
+40 Haste","180 - 300 Damage
Speed 2.60
(92.3 damage per second)
+81 [Strength or Agility]
+1,627 Stamina
+53 Critical Strike
+41 Haste","185 - 309 Damage
Speed 2.60
(95.0 damage per second)
+84 [Strength or Agility]
+1,684 Stamina
+54 Critical Strike
+41 Haste",https://www.wowhead.com/item=251230
