Mail Mythic+ Dungeon Pool — Hero & Myth Upgrade Stats,,,,,,,,
,,,,,,,,
Track rank,Item level,,Methodology,,,,,
Branch of Pride,251196,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 [Agility or Intellect]
+2,794 Stamina
+112 Versatility
+66 Mastery","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 [Agility or Intellect]
+2,896 Stamina
+113 Versatility
+67 Mastery","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 [Agility or Intellect]
+3,002 Stamina
+115 Versatility
+68 Mastery","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 [Agility or Intellect]
+3,143 Stamina
+117 Versatility
+69 Mastery","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 [Agility or Intellect]
+3,254 Stamina
+118 Versatility
+70 Mastery","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 [Agility or Intellect]
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=251196
Bulwark of Brimming Potential,158375,"679 Armor
110 Block
+72 [Strength or Intellect]
+1,397 Stamina
+50 Critical Strike
+39 Haste","693 Armor
112 Block
+74 [Strength or Intellect]
+1,448 Stamina
+51 Critical Strike
+39 Haste","706 Armor
115 Block
+76 [Strength or Intellect]
+1,501 Stamina
+51 Critical Strike
+40 Haste","725 Armor
118 Block
+79 [Strength or Intellect]
+1,572 Stamina
+52 Critical Strike
+40 Haste","739 Armor
120 Block
+81 [Strength or Intellect]
+1,627 Stamina
+53 Critical Strike
+41 Haste","754 Armor
123 Block
+84 [Strength or Intellect]
+1,684 Stamina
+54 Critical Strike
+41 Haste",https://www.wowhead.com/item=158375
Charged Sandstone Band,158366,"+1,572 Stamina
+194 Critical Strike
+145 Mastery
Prismatic Socket","+1,629 Stamina
+198 Critical Strike
+148 Mastery
Prismatic Socket","+1,689 Stamina
+202 Critical Strike
+151 Mastery
Prismatic Socket","+1,768 Stamina
+207 Critical Strike
+155 Mastery
Prismatic Socket","+1,830 Stamina
+211 Critical Strike
+158 Mastery
Prismatic Socket","+1,895 Stamina
+215 Critical Strike
+161 Mastery
Prismatic Socket",https://www.wowhead.com/item=158366
Charonic Crescent,251232,"248 - 372 Damage
Speed 3.60
(86.1 damage per second)
+144 [Agility or Strength]
+2,794 Stamina
+104 Critical Strike
+74 Haste","255 - 383 Damage
Speed 3.60
(88.6 damage per second)
+148 [Agility or Strength]
+2,896 Stamina
+105 Critical Strike
+75 Haste","262 - 394 Damage
Speed 3.60
(91.1 damage per second)
+152 [Agility or Strength]
+3,002 Stamina
+107 Critical Strike
+76 Haste","273 - 409 Damage
Speed 3.60
(94.7 damage per second)
+158 [Agility or Strength]
+3,143 Stamina
+109 Critical Strike
+77 Haste","280 - 421 Damage
Speed 3.60
(97.4 damage per second)
+162 [Agility or Strength]
+3,254 Stamina
+110 Critical Strike
+78 Haste","288 - 433 Damage
Speed 3.60
(100.1 damage per second)
+167 [Agility or Strength]
+3,369 Stamina
+112 Critical Strike
+79 Haste",https://www.wowhead.com/item=251232
Chestguard of Corroded Scales,273776,"247 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+104 Critical Strike
+74 Versatility","252 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+105 Critical Strike
+75 Versatility","257 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+107 Critical Strike
+76 Versatility","264 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+109 Critical Strike
+77 Versatility","270 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+110 Critical Strike
+78 Versatility","275 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+112 Critical Strike
+79 Versatility",https://www.wowhead.com/item=273776
Chillworn's Infusion Staff,193769,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 Intellect
+2,794 Stamina
+100 Critical Strike
+77 Versatility","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 Intellect
+2,896 Stamina
+102 Critical Strike
+78 Versatility","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 Intellect
+3,002 Stamina
+103 Critical Strike
+79 Versatility","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 Intellect
+3,143 Stamina
+105 Critical Strike
+81 Versatility","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 Intellect
+3,254 Stamina
+106 Critical Strike
+82 Versatility","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 Intellect
+3,369 Stamina
+107 Critical Strike
+83 Versatility",https://www.wowhead.com/item=193769
Cloak of the Restless Tribes,159288,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+54 Versatility
+46 Mastery
Equip: Standing still for 4 sec increases your Speed by 89. Lasts for 4 sec once you start moving.","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+55 Versatility
+46 Mastery
Equip: Standing still for 4 sec increases your Speed by 90. Lasts for 4 sec once you start moving.","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+56 Versatility
+47 Mastery
Equip: Standing still for 4 sec increases your Speed by 91. Lasts for 4 sec once you start moving.","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+57 Versatility
+48 Mastery
Equip: Standing still for 4 sec increases your Speed by 93. Lasts for 4 sec once you start moving.","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+57 Versatility
+48 Mastery
Equip: Standing still for 4 sec increases your Speed by 94. Lasts for 4 sec once you start moving.","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+58 Versatility
+49 Mastery
Equip: Standing still for 4 sec increases your Speed by 96. Lasts for 4 sec once you start moving.",https://www.wowhead.com/item=159288
Coiled Fangstone,273795,"+137 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(56787 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+141 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(59336 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+145 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(61984 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+150 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(65675 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+154 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(68567 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)","+159 Strength
Use: Unleash 3 Envenomed Bites centered on your target, inflicting a total of [(71571 * 3) * 1]) Nature damage split between nearby enemies. Damage increased by 30% per additional enemy, up to 150%. (1 Min Cooldown)",https://www.wowhead.com/item=273795
Corrupted Hexxer's Vestments,158363,"247 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+100 Critical Strike
+77 Mastery","252 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+102 Critical Strike
+78 Mastery","257 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+103 Critical Strike
+79 Mastery","264 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+105 Critical Strike
+81 Mastery","270 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+106 Critical Strike
+82 Mastery","275 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+107 Critical Strike
+83 Mastery",https://www.wowhead.com/item=158363
Crossbow of Forgotten Majesty,159640,"207 - 310 Damage
Speed 3.00
(86.1 damage per second)
+144 Agility
+2,794 Stamina
+100 Critical Strike
+77 Mastery","213 - 319 Damage
Speed 3.00
(88.6 damage per second)
+148 Agility
+2,896 Stamina
+102 Critical Strike
+78 Mastery","219 - 328 Damage
Speed 3.00
(91.1 damage per second)
+152 Agility
+3,002 Stamina
+103 Critical Strike
+79 Mastery","227 - 341 Damage
Speed 3.00
(94.7 damage per second)
+158 Agility
+3,143 Stamina
+105 Critical Strike
+81 Mastery","234 - 351 Damage
Speed 3.00
(97.4 damage per second)
+162 Agility
+3,254 Stamina
+106 Critical Strike
+82 Mastery","240 - 361 Damage
Speed 3.00
(100.1 damage per second)
+167 Agility
+3,369 Stamina
+107 Critical Strike
+83 Mastery",https://www.wowhead.com/item=159640
Drake Rider's Stecktarge,193770,"679 Armor
110 Block
+72 [Strength or Intellect]
+1,397 Stamina
+50 Critical Strike
+39 Haste","693 Armor
112 Block
+74 [Strength or Intellect]
+1,448 Stamina
+51 Critical Strike
+39 Haste","706 Armor
115 Block
+76 [Strength or Intellect]
+1,501 Stamina
+51 Critical Strike
+40 Haste","725 Armor
118 Block
+79 [Strength or Intellect]
+1,572 Stamina
+52 Critical Strike
+40 Haste","739 Armor
120 Block
+81 [Strength or Intellect]
+1,627 Stamina
+53 Critical Strike
+41 Haste","754 Armor
123 Block
+84 [Strength or Intellect]
+1,684 Stamina
+54 Critical Strike
+41 Haste",https://www.wowhead.com/item=193770
Egg Tender's Leggings,193752,"216 Armor
+144 [Agility or Intellect]
+2,794 Stamina
+112 Versatility
+66 Mastery","220 Armor
+148 [Agility or Intellect]
+2,896 Stamina
+113 Versatility
+67 Mastery","225 Armor
+152 [Agility or Intellect]
+3,002 Stamina
+115 Versatility
+68 Mastery","231 Armor
+158 [Agility or Intellect]
+3,143 Stamina
+117 Versatility
+69 Mastery","236 Armor
+162 [Agility or Intellect]
+3,254 Stamina
+118 Versatility
+70 Mastery","241 Armor
+167 [Agility or Intellect]
+3,369 Stamina
+120 Versatility
+71 Mastery",https://www.wowhead.com/item=193752
Fallen Speaker's Staff,251160,"124 - 186 Damage
Speed 3.60
(43.1 damage per second)
+838 Intellect
+2,794 Stamina
+104 Haste
+74 Versatility","128 - 192 Damage
Speed 3.60
(44.3 damage per second)
+862 Intellect
+2,896 Stamina
+105 Haste
+75 Versatility","131 - 197 Damage
Speed 3.60
(45.6 damage per second)
+886 Intellect
+3,002 Stamina
+107 Haste
+76 Versatility","136 - 205 Damage
Speed 3.60
(47.4 damage per second)
+920 Intellect
+3,143 Stamina
+109 Haste
+77 Versatility","140 - 211 Damage
Speed 3.60
(48.7 damage per second)
+946 Intellect
+3,254 Stamina
+110 Haste
+78 Versatility","144 - 217 Damage
Speed 3.60
(50.1 damage per second)
+972 Intellect
+3,369 Stamina
+112 Haste
+79 Versatility",https://www.wowhead.com/item=251160
Fang of Contagion,251225,"55 - 92 Damage
Speed 1.80
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+37 Versatility
+52 Mastery","56 - 95 Damage
Speed 1.80
(41.9 damage per second)
+431 Intellect
+1,448 Stamina
+37 Versatility
+53 Mastery","58 - 97 Damage
Speed 1.80
(43.1 damage per second)
+443 Intellect
+1,501 Stamina
+38 Versatility
+53 Mastery","60 - 101 Damage
Speed 1.80
(44.7 damage per second)
+460 Intellect
+1,572 Stamina
+38 Versatility
+54 Mastery","62 - 104 Damage
Speed 1.80
(46.1 damage per second)
+473 Intellect
+1,627 Stamina
+39 Versatility
+55 Mastery","64 - 107 Damage
Speed 1.80
(47.5 damage per second)
+486 Intellect
+1,684 Stamina
+39 Versatility
+56 Mastery",https://www.wowhead.com/item=251225
Felsoaked Soles,251138,"154 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+78 Critical Strike
+55 Versatility","157 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+79 Critical Strike
+56 Versatility","161 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+80 Critical Strike
+57 Versatility","165 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+82 Critical Strike
+58 Versatility","168 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+83 Critical Strike
+58 Versatility","172 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+84 Critical Strike
+59 Versatility",https://www.wowhead.com/item=251138
Fireproof Drape,193763,"65 Armor
+81 [Agility or Strength or Intellect]
+1,572 Stamina
+37 Critical Strike
+63 Haste","66 Armor
+83 [Agility or Strength or Intellect]
+1,629 Stamina
+38 Critical Strike
+64 Haste","67 Armor
+86 [Agility or Strength or Intellect]
+1,689 Stamina
+38 Critical Strike
+64 Haste","69 Armor
+89 [Agility or Strength or Intellect]
+1,768 Stamina
+39 Critical Strike
+66 Haste","70 Armor
+91 [Agility or Strength or Intellect]
+1,830 Stamina
+39 Critical Strike
+66 Haste","72 Armor
+94 [Agility or Strength or Intellect]
+1,895 Stamina
+40 Critical Strike
+67 Haste",https://www.wowhead.com/item=193763
Forgotten Tribe Footguards,251157,"154 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+84 Critical Strike
+49 Haste","157 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+85 Critical Strike
+50 Haste","161 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+86 Critical Strike
+51 Haste","165 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+87 Critical Strike
+52 Haste","168 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+89 Critical Strike
+52 Haste","172 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+90 Critical Strike
+53 Haste",https://www.wowhead.com/item=251157
Freightrunner's Flask,250215,"+137 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 609 for 15 sec. (1 Min, 30 Sec Cooldown)","+141 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 617 for 15 sec. (1 Min, 30 Sec Cooldown)","+145 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 625 for 15 sec. (1 Min, 30 Sec Cooldown)","+150 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 636 for 15 sec. (1 Min, 30 Sec Cooldown)","+154 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 645 for 15 sec. (1 Min, 30 Sec Cooldown)","+159 [Agility or Intellect]
Use: Take a sip of the drink you swiped from the freight, increasing your Critical Strike by 653 for 15 sec. (1 Min, 30 Sec Cooldown)",https://www.wowhead.com/item=250215
Galerattle Gauntlets,193759,"139 Armor
+108 [Agility or Intellect]
+2,096 Stamina
+78 Critical Strike
+55 Versatility","142 Armor
+111 [Agility or Intellect]
+2,172 Stamina
+79 Critical Strike
+56 Versatility","145 Armor
+114 [Agility or Intellect]
+2,252 Stamina
+80 Critical Strike
+57 Versatility","149 Armor
+118 [Agility or Intellect]
+2,358 Stamina
+82 Critical Strike
+58 Versatility","152 Armor
+122 [Agility or Intellect]
+2,440 Stamina
+83 Critical Strike
+58 Versatility","155 Armor
+125 [Agility or Intellect]
+2,527 Stamina
+84 Critical Strike
+59 Versatility",https://www.wowhead.com/item=193759
Galvanized Stormcrusher,215730,"186 - 239 Damage
Speed 2.60
(81.7 damage per second)
+721 Strength
+721 Agility
+969 Intellect
+2,656 Stamina
Dropped by: GaralonDrop Chance: 0.02%","191 - 246 Damage
Speed 2.60
(84.0 damage per second)
+742 Strength
+742 Agility
+997 Intellect
+2,753 Stamina
Dropped by: GaralonDrop Chance: 0.02%","196 - 253 Damage
Speed 2.60
(86.3 damage per second)
+763 Strength
+763 Agility
+1025 Intellect
+2,854 Stamina
Dropped by: GaralonDrop Chance: 0.02%","204 - 263 Damage
Speed 2.60
(89.8 damage per second)
+792 Strength
+792 Agility
+1064 Intellect
+2,988 Stamina
Dropped by: GaralonDrop Chance: 0.02%","210 - 270 Damage
Speed 2.60
(92.3 damage per second)
+814 Strength
+814 Agility
+1094 Intellect
+3,093 Stamina
Dropped by: GaralonDrop Chance: 0.02%","215 - 278 Damage
Speed 2.60
(94.8 damage per second)
+837 Strength
+837 Agility
+1125 Intellect
+3,203 Stamina
Dropped by: GaralonDrop Chance: 0.02%",https://www.wowhead.com/item=215730
Gilded Serpent's Tooth,159137,"55 - 92 Damage
Speed 1.80
(40.8 damage per second)
+419 Intellect
+1,397 Stamina
+39 Haste
+50 Versatility","56 - 95 Damage
Speed 1.80
(41.9 damage per second)
+431 Intellect
+1,448 Stamina
+39 Haste
+51 Versatility","58 - 97 Damage
Speed 1.80
(43.1 damage per second)
+443 Intellect
+1,501 Stamina
+40 Haste
+51 Versatility","60 - 101 Damage
Speed 1.80
(44.7 damage per second)
+460 Intellect
+1,572 Stamina
+40 Haste
+52 Versatility","62 - 104 Damage
Speed 1.80
(46.1 damage per second)
+473 Intellect
+1,627 Stamina
+41 Haste
+53 Versatility","64 - 107 Damage
Speed 1.80
(47.5 damage per second)
+486 Intellect
+1,684 Stamina
+41 Haste
+54 Versatility",https://www.wowhead.com/item=159137
Graft of the Domanaar,251234,"+1,572 Stamina
+218 Critical Strike
+121 Mastery","+1,629 Stamina
+223 Critical Strike
+124 Mastery","+1,689 Stamina
+227 Critical Strike
+126 Mastery","+1,768 Stamina
+233 Critical Strike
+129 Mastery","+1,830 Stamina
+237 Critical Strike
+132 Mastery","+1,895 Stamina
+242 Critical Strike
+134 Mastery",https://www.wowhead.com/item=251234
Grim Harvest Gloves,251143,"175 - 250 Damage
Speed 2.60
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+52 Haste
+37 Versatility","180 - 257 Damage
Speed 2.60
(84.0 damage per second)
+74 Agility
+1,448 Stamina
+53 Haste
+37 Versatility","185 - 264 Damage
Speed 2.60
(86.3 damage per second)
+76 Agility
+1,501 Stamina
+53 Haste
+38 Versatility","192 - 274 Damage
Speed 2.60
(89.6 damage per second)
+79 Agility
+1,572 Stamina
+54 Haste
+38 Versatility","198 - 282 Damage
Speed 2.60
(92.3 damage per second)
+81 Agility
+1,627 Stamina
+55 Haste
+39 Versatility","203 - 290 Damage
Speed 2.60
(94.8 damage per second)
+84 Agility
+1,684 Stamina
+56 Haste
+39 Versatility",https://www.wowhead.com/item=251143
Havoc Crusher,193767,"186 - 239 Damage
Speed 2.60
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+56 Critical Strike
+33 Haste","191 - 246 Damage
Speed 2.60
(84.0 damage per second)
+74 Agility
+1,448 Stamina
+57 Critical Strike
+33 Haste","196 - 253 Damage
Speed 2.60
(86.3 damage per second)
+76 Agility
+1,501 Stamina
+57 Critical Strike
+34 Haste","204 - 263 Damage
Speed 2.60
(89.8 damage per second)
+79 Agility
+1,572 Stamina
+58 Critical Strike
+34 Haste","210 - 270 Damage
Speed 2.60
(92.3 damage per second)
+81 Agility
+1,627 Stamina
+59 Critical Strike
+35 Haste","215 - 278 Damage
Speed 2.60
(94.8 damage per second)
+84 Agility
+1,684 Stamina
+60 Critical Strike
+35 Haste",https://www.wowhead.com/item=193767
Headcracker of Supplication,159645,"186 - 239 Damage
Speed 2.60
(81.7 damage per second)
+72 Agility
+1,397 Stamina
+37 Critical Strike
+52 Mastery","191 - 246 Damage
Speed 2.60
(84.0 damage per second)
+74 Agility
+1,448 Stamina
+37 Critical Strike
+53 Mastery","196 - 253 Damage
Speed 2.60
(86.3 damage per second)
+76 Agility
+1,501 Stamina
+38 Critical Strike
+53 Mastery","204 - 263 Damage
Speed 2.60
(89.8 damage per second)
+79 Agility
+1,572 Stamina
+38 Critical Strike
+54 Mastery","210 - 270 Damage
Speed 2.60
(92.3 damage per second)
+81 Agility
+1,627 Stamina
+39 Critical Strike
+55 Mastery","215 - 278 Damage
Speed 2.60
(94.8 damage per second)
+84 Agility
+1,684 Stamina
+39 Critical Strike
+56 Mastery",https://www.wowhead.com/item=159645
